date,ride_id,train_number,station_order,station_name,to_station,mileage,arrival_delay,departure_delay,major_holiday
2020-01-11,G1226_20200111_1,G1226,1.0,Shenyangbei Railway Station,Shenyang Railway Station,5.0,0.0,-1.0,False
2020-01-11,G1226_20200111_2,G1226,2.0,Shenyang Railway Station,Liaoyang Railway Station,65.0,-2.0,1.0,False
2020-01-11,G1226_20200111_3,G1226,3.0,Liaoyang Railway Station,Anshanxi Railway Station,30.0,1.0,1.0,False
2020-01-11,G1226_20200111_4,G1226,4.0,Anshanxi Railway Station,Haichengxi Railway Station,39.0,3.0,5.0,False
2020-01-11,G1226_20200111_5,G1226,5.0,Haichengxi Railway Station,Panjin Railway Station,66.0,7.0,6.0,False
2020-01-11,G1226_20200111_6,G1226,6.0,Panjin Railway Station,Shanhaiguan Railway Station,263.0,8.0,6.0,False
2020-01-11,G1226_20200111_7,G1226,7.0,Shanhaiguan Railway Station,Qinhuangdao Railway Station,17.0,9.0,7.0,False
2020-01-11,G1226_20200111_8,G1226,8.0,Qinhuangdao Railway Station,Beidaihe Railway Station,59.0,10.0,10.0,False
2020-01-11,G1226_20200111_9,G1226,9.0,Beidaihe Railway Station,Luanhe Railway Station,145.0,10.0,10.0,False
2020-01-11,G1226_20200111_10,G1226,10.0,Luanhe Railway Station,Tangshan Railway Station,61.0,11.0,12.0,False
2020-01-11,G1226_20200111_11,G1226,11.0,Tangshan Railway Station,Tianjinxi Railway Station,301.0,12.0,11.0,False
2020-01-11,G1226_20200111_12,G1226,12.0,Tianjinxi Railway Station,Cangzhouxi Railway Station,76.0,9.0,8.0,False
2020-01-11,G1226_20200111_17,G1226,17.0,Xuzhoudong Railway Station,Dingyuan Railway Station,210.0,167.0,167.0,False
2020-01-11,G1226_20200111_20,G1226,20.0,Zhenjiangnan Railway Station,Danyangbei Railway Station,32.0,6.0,5.0,False
2020-01-11,G1226_20200111_21,G1226,21.0,Danyangbei Railway Station,Changzhoubei Railway Station,33.0,6.0,4.0,False
2020-01-11,G1226_20200111_24,G1226,24.0,Shanghaihongqiao Railway Station,Jiaxingnan Railway Station,84.0,1.0,0.0,False
2020-01-11,G1226_20200111_25,G1226,25.0,Jiaxingnan Railway Station,Hangzhoudong Railway Station,203.0,-3.0,-2.0,False
2020-01-11,G1226_20200111_26,G1226,26.0,Hangzhoudong Railway Station,Zhuji Railway Station,344.0,-3.0,-1.0,False
2020-01-11,G1226_20200111_27,G1226,27.0,Zhuji Railway Station,Yiwu Railway Station,43.0,-1.0,-1.0,False
2020-01-11,G1226_20200111_28,G1226,28.0,Yiwu Railway Station,Jinhuanan Railway Station,45.0,1.0,0.0,False
2020-01-11,G1226_20200111_29,G1226,29.0,Jinhuanan Railway Station,Wuyibei Railway Station,19.0,2.0,1.0,False
2020-01-11,G1226_20200111_30,G1226,30.0,Wuyibei Railway Station,Yongkangnan Railway Station,24.0,3.0,2.0,False
2020-01-11,G1226_20200111_31,G1226,31.0,Yongkangnan Railway Station,Jinyunxi Railway Station,21.0,1.0,1.0,False
2020-01-11,G1226_20200111_32,G1226,32.0,Jinyunxi Railway Station,Lishui Railway Station,29.0,2.0,1.0,False
2020-01-11,G1226_20200111_33,G1226,33.0,Lishui Railway Station,Qingtian Railway Station,50.0,2.0,1.0,False
2020-01-11,G1226_20200111_34,G1226,34.0,Qingtian Railway Station,Wenzhounan Railway Station,40.0,1.0,1.0,False
2020-01-11,G1226_20200111_35,G1226,35.0,Wenzhounan Railway Station,Cangnan Railway Station,57.0,0.0,-1.0,False
2020-01-11,G1228_20200111_1,G1228,1.0,Cangnan Railway Station,Pingyang Railway Station,17.0,0.0,-2.0,False
