DATE,RIDE_ID,TRAIN_NUMBER,STATION_ORDER,STATION_NAME,TO_STATION,MILEAGE,ARRIVAL_DELAY,DEPARTURE_DELAY,MAJOR_HOLIDAY
2020-01-10,G1226_20200110_1,G1226,1,Shenyangbei Railway Station,Shenyang Railway Station,5,0,-1,FALSE
2020-01-10,G1226_20200110_2,G1226,2,Shenyang Railway Station,Liaoyang Railway Station,65,-2,3,FALSE
2020-01-10,G1226_20200110_3,G1226,3,Liaoyang Railway Station,Anshanxi Railway Station,30,4,4,FALSE
2020-01-10,G1226_20200110_4,G1226,4,Anshanxi Railway Station,Haichengxi Railway Station,39,6,5,FALSE
2020-01-10,G1226_20200110_5,G1226,5,Haichengxi Railway Station,Panjin Railway Station,66,6,5,FALSE
2020-01-10,G1226_20200110_6,G1226,6,Panjin Railway Station,Shanhaiguan Railway Station,263,5,4,FALSE
2020-01-10,G1226_20200110_7,G1226,7,Shanhaiguan Railway Station,Qinhuangdao Railway Station,17,4,3,FALSE
2020-01-10,G1226_20200110_8,G1226,8,Qinhuangdao Railway Station,Beidaihe Railway Station,59,7,7,FALSE
2020-01-10,G1226_20200110_9,G1226,9,Beidaihe Railway Station,Luanhe Railway Station,145,8,8,FALSE
2020-01-10,G1226_20200110_10,G1226,10,Luanhe Railway Station,Tangshan Railway Station,61,9,10,FALSE
2020-01-10,G1226_20200110_11,G1226,11,Tangshan Railway Station,Tianjinxi Railway Station,301,10,10,FALSE
2020-01-10,G1226_20200110_12,G1226,12,Tianjinxi Railway Station,Cangzhouxi Railway Station,76,7,6,FALSE
2020-01-10,G1226_20200110_17,G1226,17,Xuzhoudong Railway Station,Dingyuan Railway Station,210,167,167,FALSE
2020-01-10,G1226_20200110_20,G1226,20,Zhenjiangnan Railway Station,Danyangbei Railway Station,32,5,4,FALSE
2020-01-10,G1226_20200110_21,G1226,21,Danyangbei Railway Station,Changzhoubei Railway Station,33,8,9,FALSE
2020-01-10,G1226_20200110_24,G1226,24,Shanghaihongqiao Railway Station,Jiaxingnan Railway Station,84,14,10,FALSE
2020-01-10,G1226_20200110_25,G1226,25,Jiaxingnan Railway Station,Hangzhoudong Railway Station,203,9,8,FALSE
2020-01-10,G1226_20200110_26,G1226,26,Hangzhoudong Railway Station,Zhuji Railway Station,344,9,3,FALSE
