"","X","gender","age","married","employed","educated_in_us","highest_degree","education_years","labor_income"
"1",1,2,59,0,"disabled",1,"no college",12,0
"2",2,2,57,0,"employed",1,"no college",12,0
"3",3,2,43,0,"disabled",1,"no college",12,0
"4",4,2,44,0,"NA",9,"no college",99,0
"5",5,1,42,0,"employed",1,"no college",12,0
"6",6,2,30,1,"employed",1,"no college",12,0
"7",7,2,27,0,"employed",1,"no college",12,0
"8",8,1,27,0,"employed",1,"no college",12,0
"9",9,2,25,0,"unemployed",1,"no college",12,0
"10",10,1,21,0,NA,0,"no college",0,0
"11",11,2,16,0,"student",1,"no college",9,0
"12",12,2,8,0,NA,0,"no college",0,0
"13",13,1,7,0,NA,0,"no college",0,0
"14",14,1,5,0,NA,0,"no college",0,0
"15",15,2,1,0,NA,0,"no college",0,0
"16",16,2,1,0,NA,0,"no college",0,0
"17",17,2,32,1,"employed",1,"no college",12,0
"18",18,1,36,0,"employed",1,"no college",11,0
"19",19,1,35,1,"unemployed",1,"no college",12,0
"20",20,2,64,0,NA,0,"no college",0,0
"21",21,1,34,1,"employed",1,"associate",14,0
"22",22,1,24,0,"employed",1,"no college",12,16147
"23",23,2,71,1,"retired",1,"no college",10,0
"24",24,1,55,1,"employed",1,"no college",12,0
"25",25,2,51,1,"disabled",1,"no college",12,0
"26",26,1,50,1,"disabled",1,"no college",10,0
"27",27,1,34,0,"employed",8,"no college",13,46000
"28",28,1,22,1,"employed",1,"no college",12,0
"29",29,2,8,0,NA,0,"no college",0,0
"30",30,2,52,1,"disabled",1,"no college",13,0
"31",31,2,53,2,"disabled",0,"no college",0,0
"32",32,1,45,2,"employed",1,"no college",12,10000
"33",33,2,44,1,"employed",1,"no college",12,0
"34",34,2,32,1,"employed",3,"no college",12,0
"35",35,1,61,1,"employed",1,"no college",10,0
"36",36,1,39,1,"employed",1,"no college",12,0
"37",37,1,66,1,"retired",1,"no college",9,0
"38",38,2,18,1,"student",1,"no college",11,0
"39",39,2,68,1,"employed",1,"no college",13,0
"40",40,1,62,1,"employed",1,"medical degree",17,0
"41",41,2,45,1,"employed",1,"bachelor",16,0
"42",42,1,43,1,"employed",1,"bachelor",17,0
"43",43,1,36,1,"employed",1,"master",17,0
"44",44,1,35,1,"employed",1,"master",17,0
"45",45,1,33,0,"employed",1,"bachelor",17,0
"46",46,2,15,0,NA,0,"no college",0,0
"47",47,1,13,0,NA,0,"no college",0,0
"48",48,2,11,0,NA,0,"no college",0,0
"49",49,1,11,0,NA,0,"no college",0,0
"50",50,1,8,0,NA,0,"no college",0,0
"51",51,2,5,0,NA,0,"no college",0,0
"52",52,2,4,0,NA,0,"no college",0,0
"53",53,2,2,0,NA,0,"no college",0,0
"54",54,1,72,1,"furlough",1,"no college",11,0
"55",55,2,61,1,"unemployed",1,"bachelor",16,0
"56",56,1,43,1,"employed",1,"bachelor",16,0
"57",57,2,43,1,"employed",1,"bachelor",16,0
"58",58,2,34,1,"employed",1,"bachelor",16,0
"59",59,2,36,1,"keeping house",1,"other",17,0
"60",60,1,4,0,NA,0,"no college",0,0
"61",61,2,2,0,NA,0,"no college",0,0
"62",62,1,62,0,"disabled",1,"no college",12,0
"63",63,2,61,0,"keeping house",1,"no college",9,0
"64",64,2,45,1,"disabled",1,"no college",12,0
